Image,ContourArea,ChainCode,FirstDiff,ShapeNumber
L15-0331E-1257N_1327_3160_13_images_global_monthly_2019_02_mosaic_L15-0331E-1257N_1327_3160_13.tif,925097.5,"[6, 6, 6, 6, 6, 6, 6, 6, 0, 0, 0, 7, 6, 6, 6, 6, 6, 6, 7, 6, 7, 6, 6, 6, 6, 6, 6, 6, 6, 6]","[2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 7, 7, 0, 0, 0, 0, 0, 1, 7, 1, 7, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
L15-0331E-1257N_1327_3160_13_images_global_monthly_2019_03_mosaic_L15-0331E-1257N_1327_3160_13.tif,898259.5,"[6, 6, 6, 6, 6, 6, 7, 6, 6, 6, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 0, 0, 0, 0, 7, 0, 7, 6]","[2, 0, 0, 0, 0, 0, 1, 7, 0, 0, 0, 7, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 7, 1, 7, 7]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
L15-0331E-1257N_1327_3160_13_images_global_monthly_2019_04_mosaic_L15-0331E-1257N_1327_3160_13.tif,925886.0,"[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 0, 0, 0, 0, 0, 7, 7, 6]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 7, 0, 7]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
L15-0331E-1257N_1327_3160_13_images_global_monthly_2019_05_mosaic_L15-0331E-1257N_1327_3160_13.tif,778760.5,"[6, 6, 6, 6, 0, 0, 0, 7, 7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","[2, 0, 0, 0, 2, 0, 0, 7, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
L15-0331E-1257N_1327_3160_13_images_global_monthly_2019_06_mosaic_L15-0331E-1257N_1327_3160_13.tif,724747.5,"[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 0, 0, 0, 7, 6, 6, 6, 6]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 7, 7, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
L15-0331E-1257N_1327_3160_13_images_global_monthly_2019_07_mosaic_L15-0331E-1257N_1327_3160_13.tif,684713.0,"[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 0, 0, 0, 0, 0, 0, 7, 6]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 7, 7]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
L15-0331E-1257N_1327_3160_13_images_global_monthly_2019_08_mosaic_L15-0331E-1257N_1327_3160_13.tif,608268.0,"[6, 6, 6, 6, 0, 0, 7, 0, 7, 0, 7, 7, 6, 7, 6, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 2, 0, 7, 1, 7, 1, 7, 0, 7, 1, 7, 2, 7, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
L15-0331E-1257N_1327_3160_13_images_global_monthly_2019_09_mosaic_L15-0331E-1257N_1327_3160_13.tif,700511.5,"[6, 6, 6, 6, 7, 0, 0, 7, 0, 7, 0, 7, 7, 7, 0, 0, 0, 7, 7, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7]","[2, 0, 0, 0, 1, 1, 0, 7, 1, 7, 1, 7, 0, 0, 1, 0, 0, 7, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 7]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
L15-0331E-1257N_1327_3160_13_images_global_monthly_2019_10_mosaic_L15-0331E-1257N_1327_3160_13.tif,814861.0,"[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 0, 0, 0, 0, 0, 7, 6]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 7, 7]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
L15-0331E-1257N_1327_3160_13_images_global_monthly_2019_11_mosaic_L15-0331E-1257N_1327_3160_13.tif,844196.0,"[6, 6, 6, 6, 7, 7, 0, 7, 0, 0, 7, 7, 0, 7, 0, 7, 7, 7, 7, 7, 6, 6, 6, 6, 6, 0, 0, 7, 6, 6]","[2, 0, 0, 0, 1, 0, 1, 7, 1, 0, 7, 0, 1, 7, 1, 7, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 0, 7, 7, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
L15-0331E-1257N_1327_3160_13_images_global_monthly_2019_12_mosaic_L15-0331E-1257N_1327_3160_13.tif,952659.0,"[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 0, 7]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
L15-0331E-1257N_1327_3160_13_images_global_monthly_2020_01_mosaic_L15-0331E-1257N_1327_3160_13.tif,927278.5,"[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 0, 7, 7, 7, 6, 7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7, 0, 0, 7, 1, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
L15-0331E-1257N_1327_3160_13_images_masked_global_monthly_2018_01_mosaic_L15-0331E-1257N_1327_3160_13.tif,967333.0,"[6, 6, 6, 6, 6, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 6, 6, 6, 6, 6, 7, 6, 6, 6, 6, 6]","[2, 0, 0, 0, 0, 2, 0, 0, 7, 1, 0, 0, 0, 0, 0, 0, 0, 7, 7, 0, 0, 0, 0, 0, 1, 7, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
L15-0331E-1257N_1327_3160_13_images_masked_global_monthly_2018_02_mosaic_L15-0331E-1257N_1327_3160_13.tif,855216.0,"[6, 6, 6, 6, 7, 6, 6, 6, 6, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 1, 7, 0, 0, 0, 0, 7, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
L15-0331E-1257N_1327_3160_13_images_masked_global_monthly_2018_03_mosaic_L15-0331E-1257N_1327_3160_13.tif,894056.0,"[6, 6, 6, 6, 6, 6, 6, 0, 7, 7, 7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","[2, 0, 0, 0, 0, 0, 0, 2, 7, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
L15-0331E-1257N_1327_3160_13_images_masked_global_monthly_2018_04_mosaic_L15-0331E-1257N_1327_3160_13.tif,892259.5,"[6, 6, 6, 6, 7, 6, 6, 6, 6, 6, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 1, 7, 0, 0, 0, 0, 0, 7, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
L15-0331E-1257N_1327_3160_13_images_masked_global_monthly_2018_05_mosaic_L15-0331E-1257N_1327_3160_13.tif,890788.5,"[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 0, 0, 0, 0, 0, 7, 6]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 7, 7]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
L15-0331E-1257N_1327_3160_13_images_masked_global_monthly_2018_06_mosaic_L15-0331E-1257N_1327_3160_13.tif,861273.0,"[6, 6, 6, 6, 6, 6, 6, 7, 6, 6, 6, 6, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 4, 4]","[2, 0, 0, 0, 0, 0, 0, 1, 7, 0, 0, 0, 0, 7, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
L15-0331E-1257N_1327_3160_13_images_masked_global_monthly_2018_07_mosaic_L15-0331E-1257N_1327_3160_13.tif,822693.5,"[6, 6, 6, 6, 7, 6, 6, 6, 6, 6, 6, 6, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 0, 0, 0, 0, 7, 6, 6]","[2, 0, 0, 0, 1, 7, 0, 0, 0, 0, 0, 0, 0, 7, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 7, 7, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
L15-0331E-1257N_1327_3160_13_images_masked_global_monthly_2018_08_mosaic_L15-0331E-1257N_1327_3160_13.tif,781669.5,"[6, 6, 6, 6, 6, 6, 6, 6, 7, 6, 6, 7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 4, 4, 4, 4, 4, 4]","[2, 0, 0, 0, 0, 0, 0, 0, 1, 7, 0, 1, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
L15-0331E-1257N_1327_3160_13_images_masked_global_monthly_2018_09_mosaic_L15-0331E-1257N_1327_3160_13.tif,789542.0,"[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 0, 0, 0, 0, 0, 7, 6]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 7, 7]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
L15-0331E-1257N_1327_3160_13_images_masked_global_monthly_2018_10_mosaic_L15-0331E-1257N_1327_3160_13.tif,815764.5,"[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 6]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
L15-0331E-1257N_1327_3160_13_images_masked_global_monthly_2018_11_mosaic_L15-0331E-1257N_1327_3160_13.tif,663935.5,"[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 0, 0, 0, 0, 0, 0, 7]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 7]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
L15-0331E-1257N_1327_3160_13_images_masked_global_monthly_2018_12_mosaic_L15-0331E-1257N_1327_3160_13.tif,876471.5,"[6, 6, 6, 6, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 0, 7, 7, 0, 7, 0, 7, 7, 7, 7, 0, 7, 0, 7, 0]","[2, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 7, 0, 1, 7, 1, 7, 0, 0, 0, 1, 7, 1, 7, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
L15-0331E-1257N_1327_3160_13_images_masked_global_monthly_2019_01_mosaic_L15-0331E-1257N_1327_3160_13.tif,902901.5,"[6, 6, 6, 6, 0, 0, 0, 0, 7, 6, 6, 6, 6, 6, 6, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7]","[2, 0, 0, 0, 2, 0, 0, 0, 7, 7, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
L15-0331E-1257N_1327_3160_13_images_masked_global_monthly_2019_02_mosaic_L15-0331E-1257N_1327_3160_13.tif,925097.5,"[6, 6, 6, 6, 6, 6, 6, 6, 0, 0, 0, 7, 6, 6, 6, 6, 6, 6, 7, 6, 7, 6, 6, 6, 6, 6, 6, 6, 6, 6]","[2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 7, 7, 0, 0, 0, 0, 0, 1, 7, 1, 7, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
L15-0331E-1257N_1327_3160_13_images_masked_global_monthly_2019_03_mosaic_L15-0331E-1257N_1327_3160_13.tif,898259.5,"[6, 6, 6, 6, 6, 6, 7, 6, 6, 6, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 0, 0, 0, 0, 7, 0, 7, 6]","[2, 0, 0, 0, 0, 0, 1, 7, 0, 0, 0, 7, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 7, 1, 7, 7]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
